iter	Passed	Remaining
0	6	297
1	11	269
2	16	253
3	25	292
4	30	273
5	38	279
6	42	262
7	47	251
8	53	241
9	58	233
10	76	270
11	90	287
12	96	274
13	101	260
14	106	248
15	112	238
16	119	232
17	125	222
18	130	212
19	135	202
20	144	199
21	150	191
22	155	183
23	163	177
24	171	171
25	176	162
26	184	157
27	191	150
28	196	142
29	205	136
30	212	130
31	217	122
32	221	114
33	258	121
34	261	111
35	262	102
36	264	92
37	265	83
38	267	75
39	268	67
40	269	59
41	271	51
42	272	44
43	273	37
44	275	30
45	276	24
46	277	17
47	278	11
48	280	5
49	281	0
