iter	Logloss
0	0.6057795107
1	0.5282105727
2	0.4668948696
3	0.4242226437
4	0.3833184893
5	0.3531768153
6	0.3318837285
7	0.3144771531
8	0.2888214282
9	0.2751868026
10	0.2606702834
11	0.2431161581
12	0.2371969575
13	0.2255488263
14	0.2180960244
15	0.2104189682
16	0.2023949415
17	0.1934271384
18	0.1851916507
19	0.1787277643
20	0.1744986813
21	0.1693614517
22	0.1639903813
23	0.1580137757
24	0.1532240177
25	0.1469825887
26	0.1434408343
27	0.1385782971
28	0.1376252574
29	0.1346785242
30	0.132078384
31	0.127943734
32	0.1251577966
33	0.1228130548
34	0.1182518406
35	0.114052253
36	0.1131598572
37	0.1082402278
38	0.1043259674
39	0.1010945125
40	0.1006281333
41	0.09975817871
42	0.09855612955
43	0.09564967015
44	0.09278629081
45	0.09231382237
46	0.09000768778
47	0.0867540275
48	0.08507106279
49	0.0821607681
